,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
46,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,28,1994,13,9,771,8.6,0.12,0.00,0.12,0.00,1,1,1,0
47,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,de Bundesliga,28,1994,17,15,"1,211",13.5,0.45,0.07,0.52,0.45,0,0,5,0
48,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27,1995,29,24,"2,287",25.4,0.00,0.04,0.04,0.00,0,0,2,0
49,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,26,22,"1,873",20.8,0.05,0.00,0.05,0.05,0,0,2,0
50,Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,29,27,"2,297",25.5,0.04,0.00,0.04,0.04,0,0,5,0
51,Babatunde Akinsola,ng NGA,FW,Valladolid,es La Liga,19,2003,1,0,11,0.1,0.00,0.00,0.00,0.00,0,0,0,0
52,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,20,2002,11,5,402,4.5,0.00,0.00,0.00,0.00,0,0,3,0
53,Paul Akouokou,ci CIV,"MF,DF",Betis,es La Liga,24,1997,12,3,447,5.0,0.00,0.00,0.00,0.00,0,0,3,0
54,Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Empoli,it Serie A,29,1992,24,16,"1,356",15.1,0.07,0.07,0.13,0.07,0,0,9,2
55,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,28,21,"1,950",21.7,0.00,0.00,0.00,0.00,0,0,11,0
56,David Alaba,at AUT,DF,Real Madrid,es La Liga,30,1992,23,21,"1,838",20.4,0.05,0.15,0.20,0.05,0,0,3,0
57,Ángel Alarcón,es ESP,FW,Barcelona,es La Liga,18,2004,4,0,25,0.3,0.00,0.00,0.00,0.00,0,0,0,0
58,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,23,1999,4,2,223,2.5,0.00,0.00,0.00,0.00,0,0,2,1
59,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,de Bundesliga,29,1992,20,2,331,3.7,0.27,0.00,0.27,0.27,0,0,0,0
60,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33,1989,24,14,"1,419",15.8,0.13,0.19,0.32,0.13,0,0,6,1
61,Luis Alberto,es ESP,MF,Lazio,it Serie A,29,1992,35,27,"2,442",27.1,0.22,0.26,0.48,0.18,1,2,4,0
62,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36,1985,25,24,"2,119",23.5,0.00,0.00,0.00,0.00,0,0,6,0
